# Iliadis et al. 2002 Table 5.
model	wd_composition	tpeak_gk	reaction_id	reaction	isotope	isotope_label	factor_100	factor_10	factor_2	factor_0.5	factor_0.1	factor_0.01
P1	ONe	0.290	3He_ag_7Be	3He(a,g)7Be	7Be	Be-7	...	...	0.43	1.3	...	...
P1	ONe	0.290	7Be_pg_8B	7Be(p,g)8B	7Be	Be-7	...	...	0.10	4.0	...	...
P1	ONe	0.290	8B_pg_9C	8B(p,g)9C	7Be	Be-7	...	0.67	0.92	1.1	1.1	...
P1	ONe	0.290	13N_pg_14O	13N(p,g)14O	13C	C-13	...	...	0.87	1.1	...	...
P1	ONe	0.290	14N_pg_15O	14N(p,g)15O	15N	N-15	...	...	1.6	0.61	...	...
P1	ONe	0.290	15N_pg_16O	15N(p,g)16O	16O	O-16	...	...	1.3	0.89	...	...
P1	ONe	0.290	15N_pa_12C	15N(p,a)12C	15N	N-15	...	...	0.49	1.9	...	...
P1	ONe	0.290	15N_pa_12C	15N(p,a)12C	16O	O-16	...	...	0.89	1.3	...	...
P1	ONe	0.290	16O_pg_17F	16O(p,g)17F	16O	O-16	...	...	0.35	21	...	...
P1	ONe	0.290	17O_pg_18F	17O(p,g)18F	12C	C-12	...	1.2	1.0	0.95	0.95	...
P1	ONe	0.290	17O_pg_18F	17O(p,g)18F	13C	C-13	...	1.2	1.0	0.96	0.96	...
P1	ONe	0.290	17O_pg_18F	17O(p,g)18F	15N	N-15	...	1.5	1.1	0.90	0.88	...
P1	ONe	0.290	17O_pg_18F	17O(p,g)18F	17O	O-17	...	0.54	0.89	1.0	1.1	...
P1	ONe	0.290	17O_pg_18F	17O(p,g)18F	18F	F-18	...	5.2	1.8	0.53	0.11	...
P1	ONe	0.290	17O_pg_18F	17O(p,g)18F	18O	O-18	...	5.3	1.8	0.53	0.11	...
P1	ONe	0.290	17O_pg_18F	17O(p,g)18F	19F	F-19	...	5.3	1.8	0.53	0.11	...
P1	ONe	0.290	17O_pa_14N	17O(p,a)14N	12C	C-12	...	1.2	1.0	0.90	0.81	...
